score,at,content,label,processing_result
3,6/10/2022 22:25,"Tolong di tambah masa berlaku paket, supaya pembeli tidak bingung",0,"['tolong', 'laku', 'paket', 'beli', 'tidak', 'bingung']"
5,5/14/2022 3:14,Materi yang diberikan lengkap untuk tutorial pengajarannya jelas dan mengasikkan serta ada kuis yang bisa untuk menambah wawasan ada juga fitur-fitur seperti zenbot yang berguna untuk membantu menjawab PR dan zencoin,2,"['materi', 'lengkap', 'tutorial', 'ajar', 'mengasikkan', 'ada', 'kuis', 'tambah', 'wawas', 'ada', 'fitur', 'fitur', 'zenbot', 'guna', 'bantu', 'pr', 'zencoin']"
2,11/11/2022 7:47,"Aplikasinya terlalu berat untuk digunakan, lebih ringan websitenya. Sinyal bagus tapi untuk loadingnya terlalu lama, untuk menonton video pembelajaran jadi gk efisien karena terlalu banyak menunggu loading di aplikasinya",0,"['aplikasi', 'berat', 'ringan', 'websitenya', 'sinyal', 'bagus', 'loadingnya', 'lama', 'tonton', 'video', 'ajar', 'gk', 'efisien', 'tunggu', 'loading', 'aplikasi']"
5,2/21/2022 23:14,Semangat terus untuk membangun generasi,2,"['semangat', 'bangun', 'generasi']"
4,2/1/2022 11:26,"so far masi nyaman nyaman aja sama ni app,",2,"['so', 'far', 'mas', 'nyaman', 'nyaman', 'aja', 'ni', 'app']"
5,11/11/2022 21:38,"aku suka banget,tapi nggak bisa memperbarui ðŸ˜Ÿ",1,"['suka', 'banget', 'nggak', 'baru']"
3,12/1/2022 7:50,HALO KAK INI APK SAYA KENAPA TIDAK BISA DIBUKA YA ? Yg ada di layar tertera nampak ada yg salah dan muat ulang itu kenapa ya ka? btw saya baru login di pc sebelumnya saya login acc zen di hp,0,"['halo', 'kak', 'apk', 'tidak', 'buka', 'ya', 'yg', 'ada', 'layar', 'tera', 'nampak', 'ada', 'yg', 'salah', 'muat', 'ulang', 'ya', 'ka', 'btw', 'login', 'pc', 'login', 'acc', 'zen', 'hp']"
5,8/28/2022 4:41,puas bangeeeeeeeet buat pembelajqn aku yerus kaka tutornya seru lagi apalagi videonya pokonya kalian harus coba,2,"['puas', 'bangeeeeeeeet', 'pembelajqn', 'yerus', 'kaka', 'tutor', 'seru', 'video', 'poko', 'coba']"
4,5/14/2022 11:47,"aku ganti lagi ratingnya, sumpah zenius kenapasi suka eror, soal try out yg sebelumnya uda dikerjain jawabannya ilang alhasil pas waktu uda abis ga keburu ngejawab beberapa jawaban yang sebelumnya uda kejawab trus alhasil jawabannya jadi asal dan berpengaruh sama irt, sumpah kesel banget si sama zenius kenapa suka eror. mohon lah servernya diperbaiki lagi sebelum saya bener bener pindah ke apk belajar lain",0,"['ganti', 'ratingnya', 'sumpah', 'zenius', 'napas', 'suka', 'eror', 'soal', 'try', 'out', 'yg', 'uda', 'dikerjain', 'jawab', 'ilang', 'alhasil', 'pas', 'uda', 'abis', 'ga', 'keburu', 'ngejawab', 'jawab', 'uda', 'jawab', 'trus', 'alhasil', 'jawab', 'pengaruh', 'irt', 'sumpah', 'kesel', 'banget', 'si', 'zenius', 'suka', 'eror', 'mohon', 'servernya', 'baik', 'bener', 'bener', 'pindah', 'apk', 'ajar']"
3,7/12/2020 5:33,"Waduuuh, appnya udh bagus, sangat membantu dalam proses belajar, palagi buat murid2 kls 12 yg mau mendaftar ke PT, tapi ada beberapa kekurangan dalam app ini, pas saya ngerjain subtes (15 soal) tertera hasilnya salah 3, tapi bner 8, dan kosong 4, dahal saya g pernah kosongin jawaban, seharusnya sy bener 12, malah bener 8 doang... Begitchu kira2 kekurangan dari sya, selebihnya good app",1,"['waduuuh', 'appnya', 'udh', 'bagus', 'bantu', 'proses', 'ajar', 'palagi', 'murid', 'kls', 'yg', 'daftar', 'pt', 'ada', 'kurang', 'app', 'pas', 'ngerjain', 'subtes', 'soal', 'tera', 'hasil', 'salah', 'bner', 'kosong', 'dahal', 'g', 'kosongin', 'jawab', 'sy', 'bener', 'bener', 'doang', 'begitchu', 'kurang', 'sya', 'lebih', 'good', 'app']"
2,3/21/2022 9:45,"saya terganggu karena byk spam call, kalau mau jelasin sesuatu/promosi paket belajar lewat via sms/whatsapp aja.",0,"['ganggu', 'byk', 'spam', 'call', 'jelasin', 'promosi', 'paket', 'ajar', 'via', 'sms', 'whatsapp', 'aja']"
3,3/9/2022 6:09,Lambat bgt. Padahal internet laancar.,0,"['lambat', 'bgt', 'internet', 'laancar']"
4,3/19/2022 5:26,"Halo developer, sebelumnya saya ingin berterimakasih karena telah menyediakan aplikasi belajar gratis yang dapat diakses semua kalangan orang,baik dari siswa,guru bahkan sampai orang tua, berhubung aplikasi telah diunduh oleh banyak orang saya ingin memberikan SARAN untuk menambahkan jurusan BAHASA pada pilihan jurusan. Terimakasih atas perhatiannya semoga saran dari saya dapat diterima,kurang lebihnya mohon maaf.",2,"['halo', 'developer', 'berterimakasih', 'sedia', 'aplikasi', 'ajar', 'gratis', 'akses', 'kalang', 'orang', 'siswa', 'guru', 'orang', 'tua', 'hubung', 'aplikasi', 'unduh', 'orang', 'saran', 'jurus', 'bahasa', 'pilih', 'jurus', 'terimakasih', 'perhati', 'moga', 'saran', 'terima', 'kurang', 'lebih', 'mohon', 'maaf']"
1,6/11/2022 9:02,"saya mau kasih kritik!! kak jujurly gw risih ditelponÂ²mulu, ya kalo mau promosi lewat via WhatsApp ajaðŸ™demi ini sehari bisa 10 kali telp pada promosi zenius, dan disini saya blm minat n gada uang plss kurangÂ²in telpon in orangÂ²apalagi nelponnya ga diwaktu yg tepat.",0,"['kasih', 'kritik', 'kak', 'jujurly', 'gw', 'risih', 'telpon', 'mulu', 'ya', 'kalo', 'promosi', 'via', 'whatsapp', 'aja', 'hari', 'kali', 'telp', 'promosi', 'zenius', 'blm', 'minat', 'n', 'gada', 'uang', 'plss', 'kurang', 'in', 'telpon', 'in', 'orang', 'nelponnya', 'ga', 'waktu', 'yg']"
5,4/14/2022 13:16,Alhamdulillah sangat membantu utk latihan UTBK dan persiapan UTBK 2022,2,"['alhamdulillah', 'bantu', 'utk', 'latih', 'utbk', 'siap', 'utbk']"
2,3/5/2022 4:42,"sebelumnya maaf kak, ini saya syifaa saya dlu daftar zenius karna penasaran aja dan ga ngambil bimbel' gtu kak, karna saya awalnya panik dan juga gatau cara hapus akun nya gmna jadi langsung uninstall aja apk nya. jadi mohon ya kak jangan tlpn' saya lagi ðŸ™ dan maaf juga soal yang tdi tlpn tiba' di matiin karna saya dipanggil mmh, suruh angkat baju karna di luar hujan ðŸ˜ƒðŸ™",0,"['maaf', 'kak', 'syifaa', 'dlu', 'daftar', 'zenius', 'karna', 'penasaran', 'aja', 'ga', 'ngambil', 'bimbel', 'gtu', 'kak', 'karna', 'panik', 'gatau', 'hapus', 'akun', 'nya', 'gmna', 'langsung', 'uninstall', 'aja', 'apk', 'nya', 'mohon', 'ya', 'kak', 'tlpn', 'maaf', 'soal', 'tdi', 'tlpn', 'matiin', 'karna', 'panggil', 'mmh', 'suruh', 'angkat', 'baju', 'karna', 'hujan']"
1,5/25/2022 14:24,Cara daftarnya eror terus ga bisa dipakek,0,"['daftar', 'eror', 'ga', 'dipakek']"
5,11/3/2022 11:12,Bagus manta lah pokonya benar semua,2,"['bagus', 'manta', 'poko']"
4,5/11/2022 6:17,Aplikasi di hp saya kayak ngelag2 walaupun terhubung koneksi internet.,0,"['aplikasi', 'hp', 'kayak', 'ngelag', 'hubung', 'koneksi', 'internet']"
1,7/14/2022 6:17,"Ribet bat lu dateng ke sekolah gw,jadi harus download aplikasi ini kn Hadehhh....",0,"['ribet', 'bat', 'lu', 'dateng', 'sekolah', 'gw', 'download', 'aplikasi', 'kn', 'hadehhh']"
5,5/13/2022 6:42,Bener2 deh zenius materinya lengkap banget ditambah lagi tutornya juga asikk,2,"['bener', 'deh', 'zenius', 'materi', 'lengkap', 'banget', 'tambah', 'tutor', 'asikk']"
3,4/6/2020 12:01,"Bagus sih,tapi tolong dibagusin kualitas videonya dan tambahin animasi2 biar ngk ngebosenin...",1,"['bagus', 'sih', 'tolong', 'dibagusin', 'kualitas', 'video', 'tambahin', 'animasi', 'biar', 'ngk', 'ngebosenin']"
1,11/15/2022 8:00,"mau belajar dibuat ribet pake unlimited"" segala alay",0,"['ajar', 'ribet', 'pake', 'unlimited', 'alay']"
5,2/26/2022 12:19,Tapi jangan tiap Minggu update trs buang2 kuota,0,"['minggu', 'update', 'trs', 'buang', 'kuota']"
2,8/21/2022 11:07,PLS MIMIN ðŸ˜­ðŸ˜­ðŸ˜­ ini pale zenius lemot padahal jaringan full dan di app lain tuh super lancar Kalo abis liat materi latsol nya ngga bisa kebuka super lama kadang mau liat list video materi nya aja SUPER LAMA tolong kak ak lagi smamgatnya blajar pls pls pls bantu kak ini gmn mw menangis ayo kak ini gmn ðŸ˜­ðŸ˜“,0,"['pls', 'mimin', 'pale', 'zenius', 'lot', 'jaring', 'full', 'app', 'tuh', 'super', 'lancar', 'kalo', 'abis', 'liat', 'materi', 'latsol', 'nya', 'ngga', 'buka', 'super', 'lama', 'kadang', 'liat', 'list', 'video', 'materi', 'nya', 'aja', 'super', 'lama', 'tolong', 'kak', 'ak', 'smamgatnya', 'blajar', 'pls', 'pls', 'pls', 'bantu', 'kak', 'gmn', 'mw', 'menang', 'ayo', 'kak', 'gmn']"
5,7/22/2022 14:28,"Sangat bagus, penjelasannya lumayan mudah di mengerti.....",2,"['bagus', 'jelas', 'lumayan', 'mudah', 'erti']"
5,8/9/2022 2:48,Pembelajaran yang menarik dan jelas,2,"['ajar', 'tarik']"
3,3/20/2020 12:30,"Aplikasi nya bagus sih,tapi kenapa banyakan video dari pada soalnya,tolong tambahkan soal nya!!!",1,"['aplikasi', 'nya', 'bagus', 'sih', 'banyak', 'video', 'tolong', 'tambah', 'soal', 'nya']"
1,5/10/2022 4:02,"Bagi ilmu kok bayar bang, pelit ilmu banget -brainly_user",0,"['ilmu', 'bayar', 'bang', 'pelit', 'ilmu', 'banget', 'brainly', 'user']"
3,11/25/2021 12:46,"Vidonya sih banyak dan mudah dimengerti ,tapi kok pas nonton video nya login nya lama padahal koneksi jaringan masih bagus tolong di betulkan , tapi video nya agak ngeselin soalnya yang ngajar yang pake kacamata ngeselin banget",1,"['vidonya', 'sih', 'mudah', 'erti', 'pas', 'nonton', 'video', 'nya', 'login', 'nya', 'lama', 'koneksi', 'jaring', 'bagus', 'tolong', 'betul', 'video', 'nya', 'ngeselin', 'ngajar', 'pake', 'kacamata', 'ngeselin', 'banget']"
3,2/23/2022 22:59,"kak kenapa ya setelah update aplikasinya jadi bnyak vidio yg tidak tersedia, padahal aku beli paket premium, mohon segera diperbaiki kakðŸ˜­ðŸ˜­",0,"['kak', 'ya', 'update', 'aplikasi', 'bnyak', 'vidio', 'yg', 'tidak', 'sedia', 'beli', 'paket', 'premium', 'mohon', 'baik', 'kak']"
3,10/28/2022 6:04,"Live class nya gak bisa pake kuota belajar, harus pake kuota utama muluðŸ˜”",0,"['live', 'class', 'nya', 'gak', 'pake', 'kuota', 'ajar', 'pake', 'kuota', 'utama', 'mulu']"
5,10/31/2022 5:06,Mantap,2,['mantap']
5,3/10/2022 11:46,top markotop,2,"['top', 'markotop']"
2,3/4/2022 8:18,"Aplikasi bagus, pembelajaran asik. Saran untuk pihak zenius lebih menjaga privasi dari nomor penggun zenius ( semenjak instal zenius bnyak spam dari wa telfon. Seperti penawaran judi online dll)",1,"['aplikasi', 'bagus', 'ajar', 'asik', 'saran', 'zenius', 'jaga', 'privasi', 'nomor', 'gun', 'zenius', 'semenjak', 'instal', 'zenius', 'bnyak', 'spam', 'wa', 'telfon', 'tawar', 'judi', 'online', 'dll']"
5,3/16/2022 18:40,terdebest uwu,2,"['terdebest', 'uwu']"
1,11/17/2022 3:39,"SANGAT MERESAHKAN, SANGAT MENGUJI KESABARAN",0,"['resah', 'uji', 'sabar']"
5,12/17/2022 3:19,"Apk Zenius makin lama makin bagus. Terutama untuk fitur zencore-nya, fitur itu ngebantu aku banget dalam memahami materiÂ² yg sudah dilupa. Selain itu latihan soalnya juga sistematis terstruktur, jadi nggak bingung lagi mau belajar mulai dari mana. Di sisi lain juga fitur Zencore membantu banget untuk bisa lebih memahami materi UTBK yg akan dipelajari. Pokoknya Top dehâ™¥ï¸ðŸ‘. Makasih buat Zenius, Sukses selalu ðŸ’¯",2,"['apk', 'zenius', 'lama', 'bagus', 'fitur', 'zencore', 'nya', 'fitur', 'ngebantu', 'banget', 'paham', 'materi', 'yg', 'lupa', 'latih', 'sistematis', 'struktur', 'nggak', 'bingung', 'ajar', 'sisi', 'fitur', 'zencore', 'bantu', 'banget', 'paham', 'materi', 'utbk', 'yg', 'ajar', 'pokok', 'top', 'deh', 'makasih', 'zenius', 'sukses']"
5,2/18/2022 14:26,Aplikasinya membantu bangettttttttt,2,"['aplikasi', 'bantu', 'bangettttttttt']"
1,3/18/2022 2:34,"Meskipun apk ini bagus dan pantas mendapatkan bintang lima tapi saya kurang suka saat dihubungi lewat telp, serasa ditagih hutang karena kalau tidak diangkat selalu menggangu lagi eetelah 2-3 jam, dan itu benarÂ² mengganggu waktu pribadi saya",1,"['apk', 'bagus', 'bintang', 'kurang', 'suka', 'hubung', 'telp', 'serasa', 'tagih', 'hutang', 'tidak', 'angkat', 'menggangu', 'eetelah', 'jam', 'ganggu', 'pribadi']"
1,8/27/2022 9:46,"Min tolong hilangkan bugnya, setelah nonton video, masa sih selalu lama kembali ke listnya.",0,"['min', 'tolong', 'hilang', 'bugnya', 'nonton', 'video', 'sih', 'lama', 'listnya']"
5,8/24/2022 3:02,Bagus bgt. Worth it buat belajar di waktu luang gitu,2,"['bagus', 'bgt', 'worth', 'it', 'ajar', 'luang', 'gitu']"
5,2/20/2022 20:08,Saya suka dengan aplikasi ini dan saya puas,2,"['suka', 'aplikasi', 'puas']"
5,6/27/2022 2:09,pliss aplikasi ini membantu banget buat sy yg mau menghadapi utbkðŸ˜–ðŸ’˜,2,"['pliss', 'aplikasi', 'bantu', 'banget', 'sy', 'yg', 'hadap', 'utbk']"
1,7/20/2022 16:10,"blog nya ketutup iklan, jd hrs instal app. selamat utk bintang 1 nya ðŸ™",0,"['blog', 'nya', 'tutup', 'iklan', 'jd', 'hrs', 'instal', 'app', 'selamat', 'utk', 'bintang', 'nya']"
1,7/20/2022 8:01,Loadingnya lama banget padahal internet bagus banget:/,0,"['loadingnya', 'lama', 'banget', 'internet', 'bagus', 'banget']"
5,2/21/2022 0:42,Mantap jiwa pokoknya,2,"['mantap', 'jiwa', 'pokok']"
5,11/16/2022 10:22,Tidak cukup baik,0,['tidak']
5,3/5/2022 9:07,Sangat membantu proses belajar di masa pandemi ðŸ‘ðŸ»,2,"['bantu', 'proses', 'ajar', 'pandemi']"
2,8/8/2022 13:30,"saat ingin menjawab soal, gambar tidak muncul hanya ada logo zenius aja",0,"['soal', 'gambar', 'tidak', 'muncul', 'ada', 'logo', 'zenius', 'aja']"
5,2/24/2022 15:06,"Halo Zeni Us! Saya termasuk pengguna yang ingin menyampaikan 3 saran. Saya menikmati fitur bimbel dalam aplikasi zenius, videonya bagus hanya (1)kurang animasi. Selain itu, tolong sediakan fitur (2)mode gelap (Dark mode) agar nyaman saat belajar di malam hari. Untuk tambahan pada tryout agar diperbaiki bug/eror hasil jawaban berubah saat dikumpulkan. Saya harap pihak Zenius menanggapi saran ini. Terimakasih!",1,"['halo', 'zeni', 'us', 'guna', 'saran', 'nikmat', 'fitur', 'bimbel', 'aplikasi', 'zenius', 'video', 'bagus', 'kurang', 'animasi', 'tolong', 'sedia', 'fitur', 'mode', 'gelap', 'dark', 'mode', 'nyaman', 'ajar', 'malam', 'tambah', 'tryout', 'baik', 'bug', 'eror', 'hasil', 'jawab', 'ubah', 'kumpul', 'harap', 'zenius', 'tanggap', 'saran', 'terimakasih']"
1,3/22/2022 4:40,Aplikasi nya jelek banget lemot!!!,0,"['aplikasi', 'nya', 'jelek', 'banget', 'lot']"
5,9/30/2022 11:23,Aplikasi Belajar Tanpa Perlu Mengeluarkan Biaya Banyak Dan Banyak Video Materi Yang Dapat Dipelajari,2,"['aplikasi', 'ajar', 'keluar', 'biaya', 'video', 'materi', 'ajar']"
3,4/7/2019 18:32,"tampilan udah menarik, penyajian soal baru pembahasan juga bagus, tapi ada kurangnya nih zen, apa itu kurangnya? di bagian teori logika analitik kan ada lat soal, nah disitu ada bagian error yg kyk soal no.4 di pembahasan no. 4 isinya malah pembahasan no.11, simpelnya kunjawnya ketuker-tuker",1,"['tampil', 'udah', 'tarik', 'saji', 'soal', 'bahas', 'bagus', 'ada', 'kurang', 'nih', 'zen', 'kurang', 'teori', 'logika', 'analitik', 'ada', 'lat', 'soal', 'situ', 'ada', 'error', 'yg', 'kyk', 'soal', 'no', 'bahas', 'no', 'isi', 'bahas', 'no', 'simpel', 'kunjawnya', 'ketuker', 'tuker']"
5,9/20/2022 11:05,"Keren apl nya,penjelasan mudah di pahami.",2,"['keren', 'apl', 'nya', 'jelas', 'mudah', 'paham']"
5,3/12/2022 15:48,Sangat membantu dan memotivasi. Trimakasih,2,"['bantu', 'motivasi', 'trimakasih']"
3,3/18/2020 23:54,Bagus.. gratis lagi Hanya saja banyak soal yg tidak memiliki jawaban dan nomor soal teracak serta tidak muncul soal,1,"['bagus', 'gratis', 'soal', 'yg', 'tidak', 'milik', 'jawab', 'nomor', 'soal', 'teracak', 'tidak', 'muncul', 'soal']"
5,4/18/2022 15:52,"Appsnya ringan banget, fiturnya juga lengkap, ada video animasi segala. Keren sih, bukan hanya ngebantu anak belajar, tapi juga orang tua bisa semakin terasah otaknya. Paling suka fitur ZenCore nya!!",2,"['appsnya', 'ringan', 'banget', 'fiturnya', 'lengkap', 'ada', 'video', 'animasi', 'keren', 'sih', 'ngebantu', 'anak', 'ajar', 'orang', 'tua', 'asah', 'otak', 'suka', 'fitur', 'zencore', 'nya']"
5,4/25/2022 3:34,aplikasinya keren dapat membantu mengerjakan soal dan cepat dimengerti,2,"['aplikasi', 'keren', 'bantu', 'soal', 'cepat', 'erti']"
3,8/7/2020 1:34,"Aplikasinya bagus siih,tapi kok udah aku update tapi masih aja suruh update lagi.udah beberapa kali padahal aku update terus.mohon di perbaiki yaa????????????.",1,"['aplikasi', 'bagus', 'siih', 'udah', 'update', 'aja', 'suruh', 'update', 'udah', 'kali', 'update', 'mohon', 'baik', 'yaa']"
5,3/23/2022 23:54,ini sqngat bagus dan bisa belajar untuk pts dan ulangan,2,"['sqngat', 'bagus', 'ajar', 'pts', 'ulang']"
5,4/18/2022 16:51,"Mantap coy, di kelas kaga ngarti lah di Zenius malah sebaliknya",2,"['mantap', 'coy', 'kelas', 'kaga', 'ngarti', 'zenius']"
5,5/14/2022 4:56,Materi di aplikasi ini udah lengkap banget dan penjelasan dari tentornya juga asik dan bikin cepet paham sama materi. Banyak fitur-ftur yang membantu banget pokoknya. Semoga bakal ada lebih banyak fitur yang keren lagi.,2,"['materi', 'aplikasi', 'udah', 'lengkap', 'banget', 'jelas', 'tentornya', 'asik', 'bikin', 'cepet', 'paham', 'materi', 'fitur', 'ftur', 'bantu', 'banget', 'pokok', 'moga', 'ada', 'fitur', 'keren']"
5,10/30/2022 7:19,"Aplikasinya sangat menarik dan materi yang diberikan mudah dipahami, terimakasih zeniusðŸ˜ðŸ™",2,"['aplikasi', 'tarik', 'materi', 'mudah', 'paham', 'terimakasih', 'zenius']"
1,3/14/2022 9:12,Jangan suka neror orang di telepon ya,0,"['suka', 'neror', 'orang', 'telepon', 'ya']"
3,4/21/2019 12:19,So far is good. Tapi nggak ada fitur video offline jadinya bintang 3,1,"['so', 'far', 'is', 'good', 'nggak', 'ada', 'fitur', 'video', 'offline', 'bintang']"
1,3/9/2022 10:19,Marketingnya maksa poll,0,"['marketingnya', 'maksa', 'poll']"
5,3/22/2022 1:20,"Menurutku ini zenius bagus buat anak yang malas belajar sekarang jadi rajin belajar karena disini kita jadi tahu cara mengerjakan dan petunjuknya,saran adakah mode gelap/dark modeðŸ–¤",2,"['turut', 'zenius', 'bagus', 'anak', 'malas', 'ajar', 'rajin', 'ajar', 'tunjuk', 'saran', 'ada', 'mode', 'gelap', 'dark', 'mode']"
3,10/19/2022 14:50,"ini loading nya lama bgt, jadi harus re-open apk nya lagi.. ribet:(( tolong ditingkatkan jaringan aman banget, kenceng kok",0,"['loading', 'nya', 'lama', 'bgt', 're', 'open', 'apk', 'nya', 'ribet', 'tolong', 'tingkat', 'jaring', 'aman', 'banget', 'kenceng']"
5,9/14/2022 13:11,matap saya dapat rangking satu karena zenius makasih ya udah ajarinðŸ˜,2,"['matap', 'rangking', 'zenius', 'makasih', 'ya', 'udah', 'ajarin']"
5,2/7/2022 4:28,Pengen sukses utbk? Zenius kuncinya,2,"['ken', 'sukses', 'utbk', 'zenius', 'kunci']"
4,6/23/2022 23:04,"Makasi Zen. Meskipun ga berlangganan, tp aku bisa ngerjain latihan soal UTBK dan itu ngebantu banget buat akuu yg linjur. Dan yaaa aku lolos SBMPTN pilihan 1. Lup LupðŸ˜ Tp ada Minusnya ni, suka nelfon2 ga tau waktuðŸ¥²",1,"['makas', 'zen', 'ga', 'langgan', 'tp', 'ngerjain', 'latih', 'soal', 'utbk', 'ngebantu', 'banget', 'akuu', 'yg', 'linjur', 'yaaa', 'lolos', 'sbmptn', 'pilih', 'lup', 'lup', 'tp', 'ada', 'minus', 'ni', 'suka', 'nelfon', 'ga', 'tau']"
5,5/13/2022 13:00,Wow keren,2,"['wow', 'keren']"
4,2/13/2022 3:18,Kebanyakkan loading + loadingny lama walaupun sinyal ny lancar jaya,0,"['banyak', 'loading', 'loadingny', 'lama', 'sinyal', 'ny', 'lancar', 'jaya']"
1,5/20/2022 3:52,kalo mau promosi gausah nelpon nelpon nomer org dong,0,"['kalo', 'promosi', 'gausah', 'nelpon', 'nelpon', 'nomer', 'org']"
1,2/16/2022 2:17,"Waktu download dulu gak bermasalah tapi kok sekarang mau download lagi pas nyoba login selalu ada kata kata ""oops, koneksi terputus nih"" padahal sudah nyambung internet saya dan sinyal nya sangat bagus tolong bantu",0,"['download', 'gak', 'masalah', 'download', 'pas', 'nyoba', 'login', 'ada', 'oops', 'koneksi', 'putus', 'nih', 'nyambung', 'internet', 'sinyal', 'nya', 'bagus', 'tolong', 'bantu']"
5,2/28/2022 14:07,Mantap bos,2,"['mantap', 'bos']"
4,4/16/2022 16:09,"Aplikasi zenius membantu banget buat belajar. Aku cuma liat video yang gratisan sih, tp beneran udh ngebantu banget. Kekurangannya itu walaupun internet bagus tp kdg lemot, terus kalo lagi latihan soal tuh, padahal aku udah pejet option tapi malah ga kerekam sama sistemnya (?) Jdnya kosongðŸ˜­ Tolong diperbaiki ya zeniiii, thank youuuu",1,"['aplikasi', 'zenius', 'bantu', 'banget', 'ajar', 'liat', 'video', 'gratis', 'sih', 'tp', 'beneran', 'udh', 'ngebantu', 'banget', 'kurang', 'internet', 'bagus', 'tp', 'kdg', 'lot', 'kalo', 'latih', 'soal', 'tuh', 'udah', 'jet', 'option', 'ga', 'rekam', 'sistem', 'jdnya', 'kosong', 'tolong', 'baik', 'ya', 'zeniiii', 'thank', 'youuuu']"
3,10/6/2021 1:18,Aplikasi nya bagus cuman sayang gak ada pilihan buat SMK apalagi saya jurusan Multimedia susah mencari aplikasi yang memberikan pembelajaran jurusan saya harap zenius bisa menambahkan lagi,1,"['aplikasi', 'nya', 'bagus', 'cuman', 'sayang', 'gak', 'ada', 'pilih', 'smk', 'jurus', 'multimedia', 'susah', 'cari', 'aplikasi', 'ajar', 'jurus', 'harap', 'zenius']"
2,1/7/2023 14:37,"Gila cuy padahal apk nya uda mantap bgt tp dr dulu gabisa dibuka terus jadi gabisa dipake, uda brp kali gw uninstall trus install lagi trus akhirnya gabisa lg dibuka ??lah",1,"['gila', 'cuy', 'apk', 'nya', 'uda', 'mantap', 'bgt', 'tp', 'dr', 'gabisa', 'buka', 'gabisa', 'dipake', 'uda', 'brp', 'kali', 'gw', 'uninstall', 'trus', 'install', 'trus', 'gabisa', 'lg', 'buka']"
4,4/8/2022 1:28,Aplikasi bagus yahðŸ˜„ðŸ˜„ðŸ˜„,2,"['aplikasi', 'bagus', 'yah']"
5,3/26/2022 5:08,Bagus banget aplikasinya ðŸ‘ suka bgt sm penjelasannya yg bikin ngerti â˜º Bawaannya pengen rajin push rank zencore terus ðŸ˜–â¤ Kebetulan saya pakai paket premium ðŸ¤© jadi bisa nonton video ð™©ð™žð™œð™– ð™¨ð™šð™ ð™–ð™¬ð™–ð™£ dan video lainnya ðŸ˜ Keren sih ðŸ‘,2,"['bagus', 'banget', 'aplikasi', 'suka', 'bgt', 'sm', 'jelas', 'yg', 'bikin', 'ngerti', 'bawa', 'ken', 'rajin', 'push', 'rank', 'zencore', 'pakai', 'paket', 'premium', 'nonton', 'video', 'video', 'keren', 'sih']"
5,5/13/2022 9:37,"aplikasinya bermanfaat banget buat belajar, banyak versi latihan soal dan cara penyelesaiannya pun mudah dipahami",2,"['aplikasi', 'manfaat', 'banget', 'ajar', 'versi', 'latih', 'soal', 'selesai', 'mudah', 'paham']"
5,2/9/2022 2:23,sangat membantu dalam proses belajar saya yang mulai dari 0ðŸ¤ðŸ¤ðŸ¤,2,"['bantu', 'proses', 'ajar']"
5,2/17/2022 6:10,Sangat mudah dan cepat,2,"['mudah', 'cepat']"
5,12/13/2022 4:01,Hebat...,2,['hebat']
3,1/28/2021 14:34,Bagus kak vidio nya cepat dimengerti tapi sayang nya suka macet vidionya kalo pas 15/10 detik terakhir dan kadang suka keluar aplikasi sendiri gitu kak,1,"['bagus', 'kak', 'vidio', 'nya', 'cepat', 'erti', 'sayang', 'nya', 'suka', 'macet', 'vidionya', 'kalo', 'pas', 'detik', 'kadang', 'suka', 'aplikasi', 'gitu', 'kak']"
5,2/13/2022 3:30,bagus bintang lima,2,"['bagus', 'bintang']"
3,9/3/2022 2:09,"Materinya dikit banget, tidak mencakup keseluruhan, hanya point point ringan sajaa. Maaf bintang 3 ðŸ˜”",0,"['materi', 'dikit', 'banget', 'tidak', 'cakup', 'point', 'point', 'ringan', 'sajaa', 'maaf', 'bintang']"
3,11/12/2022 11:41,"Zenius sumpah deh lu knpa si, setiap minggu harus di update.",0,"['zenius', 'sumpah', 'deh', 'lu', 'knpa', 'si', 'minggu', 'update']"
5,4/21/2022 10:57,Terima kasih. Bantu banget buat belajar nih,2,"['terima', 'kasih', 'bantu', 'banget', 'ajar', 'nih']"
2,10/5/2022 14:47,"Bugnya banyak bangett. Mau lanjut ke next video/latsol lama bangettttt. Mohon ditingkatkan min. Karna gara2 lola, saya jadi ga mood untuk belajar. Masa nungguin untuk lanjut ke next video memakan waktu ber menit2",0,"['bugnya', 'bangett', 'next', 'video', 'latsol', 'lama', 'bangettttt', 'mohon', 'tingkat', 'min', 'karna', 'gara', 'lola', 'ga', 'mood', 'ajar', 'nungguin', 'next', 'video', 'makan', 'ber', 'menit']"
3,9/4/2022 3:32,"Ku kira cuma gue yg loadingnya lama gitu, ternyata ada juga yang lain. Tolonglah koneksi internet gue lancar ko 720p di youtube mah.",0,"['ku', 'gue', 'yg', 'loadingnya', 'lama', 'gitu', 'ada', 'tolong', 'koneksi', 'internet', 'gue', 'lancar', 'ko', 'p', 'youtube', 'mah']"
1,3/8/2022 10:28,"Saya ditelpon terus, yaampun",0,"['telpon', 'yaampun']"
